[Mesh fusion pipeline with reduced normal smoothing and trilateral shift iterations]
The total time taken was     538.24 ms

 Line  Time (ms)    Hits  Code
------------------------------------------------------------
  103     175.07       2  trilat_shifted_pts = trilateral_shift_cached(trilat_shifted_pts, normals, local_spacing, local_density, overlap_idx, nbr_cache, r_alpha, h_alpha)
  109     156.25       2  cluster_mapping, clustered_overlap_pnts, clustered_overlap_cols, clustered_overlap_nrms = merge_nearby_clusters(
   65      68.33       1  normals = smooth_normals(points, normals, tree=kd_tree, k=8, T=0.7, n_iters=nrm_smth_iters)
   84      67.12       1  nbr_cache = precompute_cyl_neighbours(points, normals, local_spacing, r_alpha, h_alpha, kd_tree)
  217      17.95       2  trimmed_overlap_mesh = topological_trim(
  197      15.07       2  overlap_mesh = o3d.geometry.TriangleMesh.create_from_point_cloud_ball_pivoting(
   70      10.84       1  local_spacing_1, local_density_1 = calc_local_spacing(points1, points1, tree=kd_tree)
   71      10.18       1  local_spacing_2, local_density_2 = calc_local_spacing(points2, points2, tree=kd_tree)
   86       6.83       1  overlap_idx, overlap_mask = compute_overlap_set_cached(points, scan_ids, nbr_cache)
  228       1.96       1  triangles=o3d.utility.Vector3iVector(fused_mesh_triangles),
  104       1.46       2  kd_tree = o3d.geometry.KDTreeFlann(trilat_shifted_pts.T)
  237       1.34       1  fused_mesh.remove_non_manifold_edges()
   96       1.21       1  boundary_edges = find_boundary_edges(nonoverlap_tris)
  204       1.15       1  overlap_mesh.remove_non_manifold_edges()
   51       0.76       1  kd_tree = o3d.geometry.KDTreeFlann(points.T)
  234       0.41       1  fused_mesh.remove_duplicated_triangles()
  202       0.39       1  overlap_mesh.remove_duplicated_triangles()
  124       0.25       1  overlap_any_idx = np.unique(all_tris[tri_has_overlap_any])
  235       0.22       1  fused_mesh.remove_duplicated_vertices()
   95       0.20       1  nonoverlap_tris = all_tris[~np.all(overlap_mask[all_tris], axis=1)]
  201       0.20       1  overlap_mesh.remove_duplicated_vertices()
  123       0.15       1  tri_has_overlap_any = overlap_mask[all_tris].any(axis=1)
   57       0.09       1  mesh2.compute_vertex_normals()
  238       0.06       1  fused_mesh.compute_vertex_normals()
